name,date,tech_self_score,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest
Gisela Aisbett,15/08/2019,"{'Java': 1, 'SPSS': 3, 'JavaScript': 1}","['Efficient', 'Critical Thinking', 'Creative']","['Chaotic', 'Conventional']",Yes,Yes,Yes,Pass,Engineering
Appolonia Jovis,29/08/2019,"{'Java': 7, 'R': 5, 'SPSS': 7, 'PHP': 1, 'C++': 4}","['Passionate', 'Composure', 'Determined']",['Anxious'],Yes,No,No,Fail,Business
Diandra Dyhouse,27/08/2019,"{'Python': 6, 'Java': 3, 'C++': 3}","['Collaboration', 'Determined', 'Consistent']","['Slow', 'Conventional']",Yes,Yes,Yes,Pass,Business
Cornall Offer,01/08/2019,"{'Java': 1, 'C++': 4}",['Creative'],"['Distracted', 'Overbearing']",Yes,No,Yes,Fail,Data
Dominique Narbett,20/08/2019,"{'Ruby': 4, 'R': 6, 'SPSS': 6}","['Competitive', 'Critical Thinking', 'Courteous']","['Immature', 'Chatty', 'Critical']",Yes,Yes,Yes,Pass,Business
Gusti Horrod,27/08/2019,"{'Java': 3, 'R': 3, 'PHP': 1}","['Empathy', 'Courteous']",['Indifferent'],Yes,Yes,Yes,Pass,Data
Brnaby Bownes,01/08/2019,"{'Python': 4, 'C#': 5, 'Java': 5, 'Ruby': 4, 'SPSS': 3, 'C++': 2}","['Efficient', 'Passionate']",['Introverted'],Yes,Yes,Yes,Pass,Engineering
Berky Bailey,28/08/2019,"{'Python': 2, 'C#': 5, 'JavaScript': 5}","['Competitive', 'Empathy']","['Distracted', 'Passive', 'Stubborn']",Yes,Yes,Yes,Pass,Business
Harriett Saffin,28/08/2019,"{'Python': 1, 'C#': 2, 'Ruby': 4, 'R': 1}","['Innovative', 'Consistent', 'Collaboration']",['Impulsive'],Yes,Yes,Yes,Pass,Business
Pooh Christy,28/08/2019,"{'Python': 5, 'C#': 2, 'Java': 2, 'C++': 1}","['Curious', 'Perfectionism', 'Critical Thinking']",['Perfectionist'],Yes,Yes,Yes,Pass,Data
Tris Landrean,29/08/2019,"{'Java': 1, 'SPSS': 1, 'C++': 1}","['Innovative', 'Empathy']","['Passive', 'Selfish', 'Chaotic']",Yes,Yes,Yes,Pass,Data
Derk Andress,13/08/2019,"{'R': 4, 'C++': 2}","['Curious', 'Altruism', 'Collaboration']","['Perfectionist', 'Chatty', 'Undisciplined']",Yes,Yes,Yes,Pass,Business
Engelbert Vahl,21/08/2019,"{'Java': 2, 'C++': 4, 'JavaScript': 3}","['Courteous', 'Reliable']","['Chaotic', 'Undisciplined']",Yes,Yes,Yes,Pass,Data
Prentiss Godman,20/08/2019,"{'Java': 3, 'Ruby': 3, 'C++': 1}","['Altruism', 'Collaboration']","['Controlling', 'Impulsive']",Yes,Yes,Yes,Fail,Engineering
Angel Hulson,14/08/2019,"{'C#': 5, 'Ruby': 1, 'R': 2, 'C++': 2}","['Consistent', 'Independent']","['Chaotic', 'Controlling', 'Critical']",Yes,Yes,Yes,Fail,Business
Mike Milliere,06/08/2019,"{'Java': 2, 'R': 2}","['Patient', 'Perfectionism']","['Selfish', 'Indifferent']",Yes,Yes,Yes,Pass,Engineering
Gayleen Petru,14/08/2019,"{'Python': 1, 'Ruby': 1}","['Versatile', 'Problem Solving']",['Distracted'],Yes,Yes,Yes,Pass,Business
Jozef Burr,07/08/2019,"{'Java': 2, 'R': 1, 'SPSS': 2, 'PHP': 1}","['Organisation', 'Patient', 'Problem Solving']","['Chatty', 'Anxious']",Yes,Yes,Yes,Pass,Engineering
Allina Grelka,28/08/2019,"{'Java': 3, 'R': 4, 'SPSS': 5, 'PHP': 3, 'C++': 1}","['Courteous', 'Empathy', 'Organisation']",['Critical'],Yes,Yes,Yes,Pass,Engineering
Carr Kensall,20/08/2019,"{'C#': 4, 'Ruby': 2, 'R': 1, 'SPSS': 3, 'PHP': 2, 'JavaScript': 3}","['Creative', 'Reliable']",['Chatty'],Yes,No,Yes,Fail,Business
Nil Macpaike,06/08/2019,"{'C#': 2, 'Java': 1, 'R': 1}","['Problem Solving', 'Courteous']","['Controlling', 'Introverted', 'Overbearing']",Yes,Yes,Yes,Pass,Business
Jessie Petriello,06/08/2019,"{'Java': 1, 'PHP': 2}","['Passionate', 'Versatile']",['Critical'],Yes,Yes,Yes,Pass,Engineering
George O'Duane,06/08/2019,"{'Python': 1, 'R': 1, 'JavaScript': 4}","['Altruism', 'Efficient', 'Competitive']","['Controlling', 'Critical', 'Competitive']",Yes,Yes,Yes,Pass,Data
Mendie Mcbean,15/08/2019,{'C++': 5},"['Composure', 'Independent', 'Innovative']","['Impulsive', 'Conventional', 'Introverted']",Yes,Yes,Yes,Pass,Engineering
Roze Yepiskopov,21/08/2019,"{'C#': 2, 'SPSS': 5, 'PHP': 3, 'C++': 8}",['Perfectionism'],['Chatty'],Yes,Yes,Yes,Pass,Engineering
Boote Moan,20/08/2019,"{'Python': 1, 'C#': 5, 'Java': 1, 'C++': 2}",['Altruism'],['Chaotic'],Yes,Yes,Yes,Pass,Business
